"","fw101","fw000","fw102","fw103","fw104","fw105","fw106","fw107","fw108","fw109","fw110","fw111","fw112","fw113a","fw113b","fw113c","fw113d","fw113e","fw113f","fw113g","fw113h","fw113i","fw113x","fw113y","fw114","fw115","fw116","fw117","fw118"
"169",1902,"NG7",19,1,45,2,1,3,2,3,2,3,3,"A","B","","","","","","","I","","",9,1,1,1,1
"170",1903,"NG7",32,1,28,1,6,0,2,3,5,3,3,"A","B","","","","","","","","","",2,2,1,2,NA
"171",1904,"NG7",19,1,45,2,1,3,2,3,2,2,96,"A","B","","","","","","","","","",96,1,1,1,1
"172",1905,"NG7",19,1,30,2,1,1,2,3,4,3,2,"A","B","","","","","","","","","",2,2,1,2,NA
"173",1907,"NG7",19,2,44,1,1,4,1,3,4,3,3,"A","B","","","","","","","","X","",2,1,1,1,1
"174",1908,"NG7",19,1,43,1,1,6,2,3,4,3,3,"A","B","","","","","","","","","",2,1,1,1,1
"175",1909,"NG7",19,2,41,2,1,3,2,3,5,2,96,"A","B","C","","","","","","","X","",96,2,1,2,NA
"176",1910,"NG7",19,1,31,1,1,0,2,3,5,3,3,"A","B","","","","","","","","","",2,2,2,2,NA
"177",2001,"NG7",20,1,49,2,1,3,1,3,4,3,3,"A","B","","","","","","","","","",2,1,1,1,1
"178",2002,"NG7",20,1,29,1,1,1,2,3,4,3,3,"A","B","","","","","","","","","",2,2,2,2,NA
"179",2003,"NG7",20,1,39,2,4,0,1,3,4,3,3,"A","B","","","","","","","","","",2,1,1,2,NA
"180",2004,"NG7",20,1,40,2,1,1,2,3,4,3,3,"A","B","","","","","","","","","",2,2,2,1,1
"181",2005,"NG7",20,1,45,2,3,1,2,3,4,3,2,"A","B","","","","","","H","","","",8,2,1,2,NA
"182",2006,"NG7",15,2,36,1,1,1,2,3,4,3,3,"A","B","","","","","","","","","",2,2,2,2,NA
"183",2008,"NG7",20,1,40,1,1,3,2,3,4,3,3,"A","B","","","","","","","","","",2,2,1,1,2
"184",2009,"NG7",20,1,43,1,1,2,2,3,5,3,3,"A","B","","","","","","","","","",2,2,2,2,NA
"185",2010,"NG7",20,1,30,2,1,1,2,3,0,3,3,"A","B","","","","","","","","","",2,2,2,2,NA
"186",2101,"NG7",20,1,23,2,6,0,2,3,4,3,2,"A","B","","","","","","H","","","",8,2,1,2,NA
"187",2102,"NG7",21,2,32,1,6,0,2,3,2,3,3,"A","B","","","","","","","","","",2,2,1,1,1
"188",2103,"NG7",21,1,40,2,1,1,1,3,3,2,3,"A","B","","","","","","","","","",2,2,1,1,1
"189",2104,"NG7",21,2,29,2,1,0,2,3,4,3,3,"A","B","","","","","","","","","",2,2,1,2,NA
"190",2105,"NG7",15,1,43,1,1,1,2,3,4,3,2,"A","B","","","","","","H","","","",8,2,1,1,1
"191",2106,"NG7",21,1,49,2,1,5,1,3,3,3,3,"A","B","","","","","","","","","",2,1,1,2,NA
"192",2107,"NG7",21,2,35,1,1,2,2,3,4,3,3,"A","B","C","","","","","","","","",2,2,1,1,1
"193",2108,"NG7",21,1,36,1,1,1,2,3,7,2,3,"A","B","","","","","","","","","",2,2,2,2,NA
"194",2109,"NG7",21,2,31,1,1,2,2,3,5,3,2,"A","B","","","","","","","","","",2,2,2,2,NA
"195",2201,"NG7",15,1,34,2,1,0,2,3,5,3,10,"A","B","C","","","","","","","","",3,1,1,2,NA
"196",2202,"NG7",22,2,47,2,1,4,1,3,3,3,2,"A","B","","","","","","H","","","",8,1,1,2,NA
"197",2203,"NG7",22,2,30,2,6,0,2,3,4,3,3,"A","B","C","","","","","","","","",2,2,1,2,NA
"198",2204,"NG7",22,2,53,1,1,13,1,2,6,3,3,"A","B","","","","","","","","","",2,2,1,1,1
"199",2205,"NG7",22,1,30,2,1,2,1,3,3,3,3,"A","B","","","","","","","","","",2,2,2,1,1
"200",2206,"NG7",22,2,45,1,1,8,1,3,3,3,3,"A","B","","","","","","","","","",2,2,1,1,1
"201",2207,"NG7",19,1,44,1,1,4,2,3,3,3,3,"A","B","","","","","","H","","","",8,2,2,2,NA
"202",2208,"NG7",15,1,49,1,1,5,2,3,2,3,2,"A","B","","","","","","H","","","",8,2,1,1,1
"203",2209,"NG7",22,2,37,1,1,4,2,3,8,3,96,"A","B","","","","","","","","X","",96,2,2,2,NA
"204",2210,"NG7",22,2,28,2,6,0,2,3,3,3,3,"A","B","","","","","","","","","",2,2,1,2,NA
"205",2301,"NG7",23,1,44,2,1,3,2,3,4,2,10,"A","","C","","","","","","","","",3,2,1,2,NA
